screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
kphapada,Thannar Thanna,แท็กนี่ตอนแรกคิดว่ารัฐบาลเตรียมพร้อมจะลาออก โอ้ย นี่จุดประทัด celebrate เลยจ้า #รัฐบาลเตรียมพร้อม,2020-02-14 02:57:26,72,56,477,-1,0,102611764,2010-01-06 23:50:00,3703 days 00:10:00.000000000,3703
Blue_Powerer,ㅌ 🌸ด้อมน้องเฟียสต้า,"อีดอก เอาอะไรมาเตรียมพร้อม สมองยังไม่มีเลย
#รัฐบาลเตรียมพร้อม",2020-02-14 02:57:19,28,6,316,-1,1,1056905367437754368,2018-10-29 06:47:00,485 days 17:13:00.000000000,485
iambenn,ผนงรจตกม,#รัฐบาลเฮงซวย #รัฐบาลเตรียมพร้อม กูว่าแล้วความเลวของพวกมึงกำลังทำให้คนเป็นโรคประสาท #นายกเฮงซวยhttps://twitter.com/tanawatofficial/status/1228145603621732352 …,2020-02-14 02:57:13,2359,529,20987,Thailand,0,50679681,2009-06-25 08:42:00,3898 days 15:18:00.000000000,3898
Soft_Souffle,ซูเฟล่,"เวลาลอกอ่ะให้มันเนียนๆหน่อย เดี๋ยวครูหักคะแนนนะ
#รัฐบาลเตรียมพร้อม https://twitter.com/it_4440/status/1228019121704464384 …",2020-02-14 02:57:09,94,8,629,-1,0,361699084,2011-08-24 22:42:00,3108 days 01:18:00.000000000,3108
dracocharls,timtisa,หน้าหีมาก! ทุกอาชีพในประเทศนี้ก็ทำคุณให้ประเทศทั้งนั้นแหละ ไม่ใช่แค่ข้าราชการ! แค่พวกกูมีชีวิตเพื่อเสียภาษีเป็นเงินเดือนพวกมึงแค่นี้บุญคุณพวกกูก็ล้นหลามแล้วอิดอก! เฮงซวยจริงๆ!#รัฐบาลเตรียมพร้อม pic.twitter.com/tX7EBspFtr,2020-02-14 02:56:54,23,197,24007,-1,2,974885268921569280,2018-03-16 22:48:00,712 days 01:12:00.000000000,712
CHAYUTTI,ภาษาไทยกดหนึ่ง,"#รัฐบาลเตรียมพร้อม ส่วนกูก็เตรียมพร้อม ที่จะสละสัญชาติ เช่นกัน..
ประเทศที่ไม่มีทั้ง privacy และ security เหี้ยใดๆ ทั้งสิ้น",2020-02-14 02:56:52,635,110,3080,"Bangkok, Thailand",2,94991299,2009-12-06 04:37:00,3734 days 19:23:00.000000000,3734
Omei3,Omei,ด่วนๆๆๆ เกิดเหตุกราดยิงอีกแล้ว จุฬาซอย 10 สามย่าน กทม    #กราดยิงจุฬาซอย10สามย่าน #รัฐบาลเตรียมพร้อม pic.twitter.com/ymiGxbZ6Tj,2020-02-14 02:56:48,95,50,661,Bangkok Thailand,17,475973878,2012-01-27 08:49:00,2952 days 15:11:00.000000000,2952
Apw_2537,Ton_Taewwwww 🌿,ด่าฝ่ายตรงข้ามทำลายความมั่นคงมาก เข้าตัวเองเฉย!!! #รัฐบาลเตรียมพร้อม,2020-02-14 02:56:43,65,13,1904,-1,1,981423858736619520,2018-04-03 23:50:00,694 days 00:10:00.000000000,694
uq_le, ♣️Devil survivor  ♊  วิลวไลย์  ❤️ ถังนิรุธ,รัฐบาลรู้รึยัง เหตุการณ์เช้านี้  #รัฐบาลเตรียมพร้อม,2020-02-14 02:56:35,549,9456,117995,ประเทศไทย,1,871958189192790016,2017-06-05 22:13:00,996 days 01:47:00.000000000,996
callmemelins,ชื่ออะไรครับ.มิวค่ะ.อ๋อคุณนิวนะครับ...,"คลิปนี้คือไม่ได้จริง มารยาทการนั่งฟังก็ไม่มีและที่สำคัญคือเค้ายังพูดไม่จบและแกแปลไม่ได้ฟังภาษาอังกฤษไม่รู้เรื่องแต่มาถอดหูฟังจากล่ามก่อนที่เค้าจะพูดจบ 
#รัฐบาลเฮงซวย #รัฐบาลเตรียมพร้อม https://twitter.com/NoLungNoKaLa/status/1228061991970885632 …",2020-02-14 02:56:19,66,47,15694,-1,1,88202184,2009-11-07 07:05:00,3763 days 16:55:00.000000000,3763
